edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ns
658,8.980006716578876e-05,8.980034892342967e-05,-2.817576409102731e-10,-0.28175764091027306
659,8.982864256562198e-05,8.982891912759274e-05,-2.765619707629002e-10,-0.27656197076290023
660,8.985721797807281e-05,8.985748933175581e-05,-2.713536829959046e-10,-0.2713536829959046
661,8.988579340595724e-05,8.988605953591886e-05,-2.661299616245362e-10,-0.2661299616245362
662,8.991436884868825e-05,8.991462974008193e-05,-2.6089139367650877e-10,-0.26089139367650876
663,8.994294428731144e-05,8.9943199944245e-05,-2.5565693355367244e-10,-0.2556569335536724
664,8.997151974676046e-05,8.997177014840806e-05,-2.5040164758761604e-10,-0.250401647587616
665,9.000009517095764e-05,9.000034035257112e-05,-2.4518161347941604e-10,-0.24518161347941603
666,9.002865804248071e-05,9.002891055673419e-05,-2.525142534813326e-10,-0.2525142534813326
667,9.005722148335541e-05,9.005748076089725e-05,-2.592775418292102e-10,-0.2592775418292102
668,9.00857871159566e-05,9.008605096506032e-05,-2.6384910370826226e-10,-0.26384910370826226
669,9.011435435164161e-05,9.011462116922338e-05,-2.6681758176494234e-10,-0.26681758176494236
670,9.014292281907847e-05,9.014319137338645e-05,-2.6855430797917216e-10,-0.2685543079791722
671,9.017149228006116e-05,9.017176157754952e-05,-2.692974883580629e-10,-0.2692974883580629
672,9.020006255412468e-05,9.020033178171257e-05,-2.6922758789243885e-10,-0.26922758789243884
673,9.022863351908436e-05,9.022890198587564e-05,-2.684667912746768e-10,-0.2684667912746768
674,9.025720506630347e-05,9.025747219003871e-05,-2.671237352371992e-10,-0.2671237352371992
675,9.028577711298969e-05,9.028604239420177e-05,-2.6528121207353474e-10,-0.2652812120735347
676,9.03143496054576e-05,9.031461259836483e-05,-2.629929072333239e-10,-0.2629929072333239
677,9.034292245501015e-05,9.03431828025279e-05,-2.6034751775130966e-10,-0.26034751775130965
678,9.037149563577422e-05,9.037175300669096e-05,-2.573709167299806e-10,-0.2573709167299806
679,9.040006911320144e-05,9.040032321085402e-05,-2.5409765258327105e-10,-0.25409765258327105
680,9.042864282797279e-05,9.042889341501709e-05,-2.5058704430241484e-10,-0.25058704430241485
681,9.0457216763349e-05,9.045746361918016e-05,-2.468558311558035e-10,-0.24685583115580348
682,9.048579090702025e-05,9.048603382334323e-05,-2.429163229716155e-10,-0.2429163229716155
683,9.05143652039256e-05,9.051460402750628e-05,-2.3882358068613e-10,-0.23882358068613002
684,9.054293966660169e-05,9.054317423166935e-05,-2.3456506765607404e-10,-0.23456506765607404
685,9.057151423624004e-05,9.057174443583242e-05,-2.3019959237608843e-10,-0.23019959237608842
686,9.060008893942269e-05,9.060031463999547e-05,-2.2570057278388402e-10,-0.225700572783884
687,9.062866372868009e-05,9.062888484415854e-05,-2.211154784489686e-10,-0.22111547844896862
688,9.065723861622687e-05,9.065745504832161e-05,-2.1643209473611447e-10,-0.21643209473611447
689,9.068581357153111e-05,9.068602525248468e-05,-2.1168095356454535e-10,-0.21168095356454536
690,9.071438859981673e-05,9.071459545664773e-05,-2.0685683100424875e-10,-0.20685683100424873
691,9.074296367628654e-05,9.07431656608108e-05,-2.019845242632399e-10,-0.2019845242632399
692,9.077153881244045e-05,9.077173586497387e-05,-1.9705253341236317e-10,-0.19705253341236317
693,9.080011397509687e-05,9.080030606913694e-05,-1.920940400660842e-10,-0.1920940400660842
694,9.082868919183364e-05,9.082887627329999e-05,-1.870814663495234e-10,-0.1870814663495234
695,9.085726441711085e-05,9.085744647746306e-05,-1.8206035220981962e-10,-0.18206035220981961
696,9.088583968724921e-05,9.088601668162613e-05,-1.7699437691485216e-10,-0.17699437691485215
697,9.091441494957941e-05,9.091458688578918e-05,-1.719362097728804e-10,-0.1719362097728804
698,9.094299025153435e-05,9.094315708995225e-05,-1.6683841790108752e-10,-0.16683841790108753
