period_number,period_s,period_error_s,period_error_ps
1106,7.813108956618536e-09,6.186423015337754e-13,0.6186423015337754
1107,7.813087186137068e-09,5.968718200658639e-13,0.5968718200658639
1108,7.813033755664674e-09,5.434413476712959e-13,0.5434413476712958
1109,7.813078458892338e-09,5.881445753360233e-13,0.5881445753360233
1110,7.813073886608489e-09,5.835722914867446e-13,0.5835722914867446
1111,7.81304129751051e-09,5.509831935083766e-13,0.5509831935083765
1112,7.813031541317262e-09,5.412270002592658e-13,0.5412270002592657
1113,7.813079643884655e-09,5.893295676529685e-13,0.5893295676529685
1114,7.813037003148336e-09,5.466888313334874e-13,0.5466888313334873
1115,7.812987877853033e-09,4.975635360304791e-13,0.4975635360304791
1116,7.813067388957764e-09,5.770746407619847e-13,0.5770746407619847
1117,7.813035153458772e-09,5.448391417696456e-13,0.5448391417696457
1118,7.812979525525414e-09,4.89211208411884e-13,0.489211208411884
1119,7.813040795890823e-09,5.50481573820749e-13,0.550481573820749
1120,7.81302357385431e-09,5.332595373068487e-13,0.5332595373068487
1121,7.812987989471647e-09,4.976751546441365e-13,0.4976751546441365
1122,7.812994989880471e-09,5.046755634688051e-13,0.504675563468805
1123,7.813021182687075e-09,5.308683700730134e-13,0.5308683700730134
1124,7.812994809387915e-09,5.044950709121406e-13,0.5044950709121405
1125,7.812945915922141e-09,4.55601605138664e-13,0.455601605138664
1126,7.813027283519805e-09,5.369692028026436e-13,0.5369692028026436
1127,7.812987744374193e-09,4.97430057190519e-13,0.49743005719051897
1128,7.812938844240576e-09,4.485299235736816e-13,0.4485299235736816
1129,7.812988746041475e-09,4.98431724472624e-13,0.498431724472624
1130,7.812981780964089e-09,4.914666470862513e-13,0.49146664708625126
1131,7.812952988403305e-09,4.626740863027486e-13,0.4626740863027486
1132,7.812939581348976e-09,4.49267031973173e-13,0.449267031973173
1133,7.812984756719581e-09,4.944424025789636e-13,0.4944424025789636
1134,7.812954415308232e-09,4.641009912294296e-13,0.4641009912294296
1135,7.812906070394548e-09,4.1575607754512205e-13,0.41575607754512206
