edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ps
50313,0.00017771326535346213,0.00017771326855382254,-3.200360400889966e-12,-3.200360400889966
50314,0.00017771659868152486,0.00017771660188709636,-3.205571483106746e-12,-3.205571483106746
50315,0.00017771993212559224,0.0001777199352203702,-3.094777947302625e-12,-3.094777947302625
50316,0.00017772326570788827,0.00017772326855364402,-2.8457557360308317e-12,-2.845755736030832
50317,0.00017772659931655514,0.00017772660188691784,-2.570362692158108e-12,-2.570362692158108
50318,0.00017772993302332297,0.00017772993522019166,-2.1968686775791707e-12,-2.196868677579171
50319,0.00017773326676450143,0.00017773326855346548,-1.788964037609454e-12,-1.788964037609454
50320,0.0001777366004962204,0.0001777366018867393,-1.3905188718592931e-12,-1.3905188718592931
50321,0.00017773993431717164,0.00017773993522001314,-9.028414820687958e-13,-0.9028414820687958
50322,0.00017774326809846772,0.00017774326855328696,-4.548192204178247e-13,-0.45481922041782474
50323,0.00017774660191265858,0.00017774660188656078,2.6097816461519424e-14,0.026097816461519423
50324,0.00017774993573751796,0.0001777499352198346,5.176833756130666e-13,0.5176833756130667
50325,0.00017775326946620017,0.0001777532685531084,9.130917723932586e-13,0.9130917723932586
50326,0.00017775660331373352,0.00017775660188638223,1.4273513057881038e-12,1.4273513057881038
50327,0.00017775993710935695,0.00017775993521965605,1.8897009196777104e-12,1.8897009196777104
50328,0.00017776327091282638,0.0001777632685529299,2.35989649811378e-12,2.35989649811378
50329,0.00017776660475380982,0.0001777666018862037,2.8676061222391513e-12,2.867606122239151
50330,0.00017776993853320857,0.00017776993521947753,3.313731057193327e-12,3.313731057193327
50331,0.00017777327233368072,0.00017777326855275135,3.780929385828615e-12,3.780929385828615
50332,0.00017777660612881352,0.00017777660188602516,4.242788371130117e-12,4.242788371130117
50333,0.0001777799398716462,0.00017777993521929898,4.652347232564504e-12,4.652347232564503
50334,0.00017778327368099317,0.00017778326855257283,5.12842035229278e-12,5.12842035229278
50335,0.00017778660743655327,0.00017778660188584665,5.55070663592492e-12,5.55070663592492
50336,0.00017778994115904079,0.00017778993521912046,5.939920335172398e-12,5.939920335172398
50337,0.00017779327492298608,0.00017779326855239428,6.3705918113014864e-12,6.3705918113014866
50338,0.00017779660863496817,0.0001777966018856681,6.749300079388558e-12,6.749300079388558
50339,0.00017779994235712698,0.00017779993521894192,7.138185075642394e-12,7.138185075642394
50340,0.00017780326830622203,0.00017780326855221576,-2.4599372337576864e-13,-0.24599372337576864
50341,0.00017780659831093131,0.00017780660188548958,-3.5745582524142267e-12,-3.5745582524142265
50342,0.00017780993170086242,0.0001778099352187634,-3.51790096396138e-12,-3.51790096396138
50343,0.0001778132644846419,0.00017781326855203722,-4.067395306133474e-12,-4.0673953061334736
50344,0.00017781659785884654,0.00017781660188531103,-4.026464478612747e-12,-4.026464478612747
50345,0.00017781993134332973,0.00017781993521858485,-3.875255111319829e-12,-3.875255111319829
50346,0.0001778232649763202,0.00017782326855185867,-3.5755384524933165e-12,-3.5755384524933165
50347,0.0001778265986376755,0.00017782660188513251,-3.2474570048504553e-12,-3.2474570048504554
50348,0.00017782993237698647,0.00017782993521840633,-2.8414198489127363e-12,-2.8414198489127362
