offset_frequency_hz,phase_noise_dbc_per_hz
4258823.605445934,-137.02243519661823
4264705.95849213,-137.71107639236732
4270588.311538327,-137.58070782653098
4276470.664584522,-146.25223133872754
4282353.017630719,-154.524719592515
4288235.370676914,-143.48553675751387
4294117.723723111,-139.73115578677087
4300000.076769306,-146.70424228791748
4305882.429815503,-149.87665366893393
4311764.782861698,-147.49151197606062
4317647.135907895,-142.41566564841798
4323529.4889540905,-148.06297717492546
4329411.842000287,-150.79517369434794
4335294.195046483,-143.49483338094987
4341176.548092679,-140.31222910467577
4347058.901138875,-148.66941758761715
4352941.254185071,-141.90009756734756
4358823.607231267,-140.75196747826115
4364705.960277463,-151.47048038222624
4370588.313323659,-150.23232891426755
4376470.666369855,-143.7469892360211
4382353.019416051,-136.30821067603452
4388235.3724622475,-135.42155714695713
4394117.725508443,-142.29741252625598
4400000.07855464,-156.45809997067005
4405882.431600835,-146.14986752825945
4411764.784647032,-145.11523631823673
4417647.137693227,-139.19837509102112
4423529.490739424,-139.80903387265144
4429411.843785619,-143.98140593523942
4435294.196831816,-144.43769478188526
4441176.549878011,-139.4644920279705
4447058.902924208,-133.71372835805687
4452941.255970404,-141.05614601383093
4458823.6090166,-146.0462386027002
4464705.962062796,-143.03055731520854
4470588.315108992,-141.6475495986157
4476470.668155188,-142.60269025190235
4482353.021201384,-140.9727615318113
4488235.37424758,-142.29652798593645
4494117.727293776,-143.69701121708036
4500000.080339972,-143.09648551380124
4505882.433386168,-144.34931290810493
4511764.786432364,-144.5199170658299
4517647.139478561,-150.41520671999245
4523529.492524756,-148.13696847463294
4529411.845570952,-143.26090550907787
4535294.198617148,-141.58610723524473
4541176.551663344,-147.79759889051286
4547058.90470954,-141.3571269369341
4552941.257755736,-142.31372596746058
4558823.610801932,-148.08675617232603
4564705.963848128,-147.81213767564
4570588.3168943245,-137.9141263436458
4576470.66994052,-143.04460402968996
4582353.022986717,-144.97655311686356
4588235.376032912,-149.69810745403564
4594117.729079109,-148.66552501489542
4600000.082125304,-146.01553788409151
4605882.435171501,-143.46579347333207
4611764.788217696,-154.28589321434882
4617647.141263893,-140.73986240713512
4623529.494310088,-147.38868643895296
4629411.847356285,-142.56459336329758
4635294.200402481,-147.07950647819564
4641176.553448677,-145.94299337594373
4647058.906494873,-152.6724585601691
4652941.259541069,-152.89308066473777
4658823.612587265,-141.53620215268285
4664705.965633461,-144.2488214984228
4670588.318679657,-155.65711145495283
4676470.671725853,-150.0191734760728
