edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_µs
237,0.020932930306822594,0.020933242565129743,-3.1225830714950954e-07,-0.31225830714950953
238,0.02096627444683626,0.02096657839106737,-3.039442311107694e-07,-0.3039442311107694
239,0.020999617420147852,0.020999914217004995,-2.96796857143788e-07,-0.296796857143788
240,0.021032962486071772,0.02103325004294262,-2.875568708503302e-07,-0.2875568708503302
241,0.021066305554393303,0.021066585868880248,-2.803144869459313e-07,-0.2803144869459313
242,0.021099650498035843,0.02109992169481787,-2.7119678202847065e-07,-0.27119678202847064
243,0.02113299422108908,0.021133257520755497,-2.6329966641772074e-07,-0.26329966641772073
244,0.021166338649887793,0.021166593346693123,-2.5469680533102236e-07,-0.25469680533102235
245,0.02119968322010703,0.021199929172630746,-2.459525237162581e-07,-0.2459525237162581
246,0.021233027540635795,0.021233264998568372,-2.3745793257812188e-07,-0.23745793257812187
247,0.02126637252435637,0.021266600824506,-2.2830014962948964e-07,-0.22830014962948963
248,0.021299716965765,0.021299936650443625,-2.1968467862620812e-07,-0.2196846786262081
249,0.021333062199882933,0.02133327247638125,-2.1027649831847862e-07,-0.2102764983184786
250,0.021366406827643413,0.021366608302318877,-2.0147467546457977e-07,-0.20147467546457976
251,0.021399752284571753,0.021399944128256503,-1.9184368475130787e-07,-0.19184368475130786
252,0.021433097044196478,0.02143327995419413,-1.8290999765219152e-07,-0.1829099976521915
253,0.021466442709169867,0.021466615780131752,-1.7307096188551264e-07,-0.17307096188551263
254,0.021499787686400682,0.02149995160606938,-1.639196686969986e-07,-0.1639196686969986
255,0.021533133475513958,0.021533287432007,-1.5395649304444882e-07,-0.1539564930444488
256,0.021566478810594775,0.021566623257944628,-1.444473498528327e-07,-0.1444473498528327
257,0.021599824526251202,0.021599959083882254,-1.3455763105199537e-07,-0.13455763105199536
258,0.02163317064488563,0.02163329490981988,-1.242649342494957e-07,-0.12426493424949571
259,0.021666515962935944,0.021666630735757506,-1.1477282156335767e-07,-0.11477282156335768
260,0.021699862650459856,0.021699966561695132,-1.0391123527672642e-07,-0.10391123527672642
261,0.021733208016439166,0.02173330238763276,-9.437119359301206e-08,-0.09437119359301206
262,0.02176655464110824,0.021766638213570385,-8.357246214576964e-08,-0.08357246214576965
263,0.021799901163804647,0.021799974039508008,-7.287570336147976e-08,-0.07287570336147976
264,0.021833247055938712,0.021833309865445634,-6.280950692258381e-08,-0.06280950692258382
265,0.021866593952910632,0.02186664569138326,-5.173847262840382e-08,-0.051738472628403816
266,0.02189994073602465,0.021899981517320883,-4.078129623302741e-08,-0.040781296233027405
267,0.021933286872746156,0.02193331734325851,-3.04705123535527e-08,-0.030470512353552703
268,0.021966634115881244,0.021966653169196135,-1.9053314891797745e-08,-0.019053314891797745
269,0.021999981204797247,0.02199998899513376,-7.79033651546147e-09,-0.0077903365154614705
270,0.02203332759782249,0.022033324821071388,2.7767511026626124e-09,0.0027767511026626124
271,0.02206667496497817,0.022066660647009014,1.4317969156824474e-08,0.014317969156824473
272,0.02210002261308541,0.02209999647294664,2.614013876814413e-08,0.02614013876814413
273,0.022133369565433256,0.022133332298884263,3.726654899186043e-08,0.03726654899186043
274,0.022166716845736695,0.02216666812482189,4.872091480534512e-08,0.04872091480534512
275,0.02220006469975623,0.022200003950759516,6.074899671429422e-08,0.06074899671429423
276,0.022233412809349252,0.02223333977669714,7.303265211269826e-08,0.07303265211269826
277,0.02226676039230041,0.022266675602634765,8.478966564556866e-08,0.08478966564556865
278,0.022300107970024362,0.02230001142857239,9.654145197088336e-08,0.09654145197088336
279,0.0223334559695637,0.022333347254510017,1.0871505368090272e-07,0.10871505368090272
280,0.02236680450199194,0.022366683080447643,1.214215442975346e-07,0.12142154429753459
281,0.022400152853770283,0.02240001890638527,1.339473850128785e-07,0.1339473850128785
282,0.022433501416774294,0.022433354732322896,1.466844513971226e-07,0.1466844513971226
283,0.022466849167220748,0.022466690558260522,1.5860896022540415e-07,0.15860896022540416
284,0.022500197789247063,0.022500026384198145,1.7140504891752272e-07,0.17140504891752273
