period_number,period_s,period_error_s,period_error_ns
303,3.33521396996099e-05,1.631376198432471e-08,16.31376198432471
304,3.334949987293667e-05,1.3673935311096113e-08,13.673935311096113
305,3.335201959921846e-05,1.6193661592887204e-08,16.193661592887203
306,3.334966622556279e-05,1.3840287937214751e-08,13.84028793721475
307,3.3352100346294156e-05,1.6274408668579704e-08,16.274408668579703
308,3.334971503017592e-05,1.3889092550343368e-08,13.889092550343367
309,3.3352632576092583e-05,1.6806638467007523e-08,16.806638467007524
310,3.334971665324912e-05,1.3890715623546984e-08,13.890715623546983
311,3.3353950728752524e-05,1.812479112694792e-08,18.12479112694792
312,3.334970739310439e-05,1.3881455478812637e-08,13.881455478812637
313,3.3353384753586485e-05,1.755881596090874e-08,17.558815960908742
314,3.334982226598643e-05,1.3996328360852566e-08,13.996328360852566
315,3.335361263829065e-05,1.7786700665071314e-08,17.786700665071315
316,3.334981825574984e-05,1.3992318124265318e-08,13.992318124265317
317,3.335504886855384e-05,1.9222930928262266e-08,19.222930928262265
318,3.334984773956107e-05,1.4021801935491123e-08,14.021801935491123
319,3.335413755040095e-05,1.831161277537701e-08,18.31161277537701
320,3.334986956356201e-05,1.4043625936430875e-08,14.043625936430875
321,3.335592195710668e-05,2.0096019481106336e-08,20.096019481106335
322,3.334985815600308e-05,1.4032218377505617e-08,14.032218377505616
323,3.3355098881235334e-05,1.9272943609758447e-08,19.272943609758446
324,3.334981476133328e-05,1.3988823707703651e-08,13.98882370770365
325,3.335661578868221e-05,2.078985105663305e-08,20.78985105663305
326,3.3349797859901636e-05,1.3971922276060527e-08,13.971922276060527
327,3.335524020002187e-05,1.9414262396292453e-08,19.414262396292454
328,3.3349004997684784e-05,1.3179060059207597e-08,13.179060059207597
329,3.333166761577966e-05,-4.158321845917196e-09,-4.158321845917196
330,3.333428058949206e-05,-1.545348133515762e-09,-1.545348133515762
331,3.332461181311183e-05,-1.1214124513744101e-08,-11.214124513744101
332,3.3330314182934695e-05,-5.511754690881005e-09,-5.511754690881005
333,3.333525170151966e-05,-5.742361059178419e-10,-0.5742361059178419
334,3.3336305109273046e-05,4.791716474696278e-10,0.47917164746962787
335,3.332719370981174e-05,-8.632227813833832e-09,-8.632227813833833
336,3.333165520979717e-05,-4.1707278284085e-09,-4.170727828408499
337,3.334089960370379e-05,5.073666078212629e-09,5.0736660782126295
338,3.333916256850061e-05,3.336630875037266e-09,3.3366308750372657
339,3.3335054434625866e-05,-7.715029997100225e-10,-0.7715029997100226
340,3.3335427267411344e-05,-3.9867021423207246e-10,-0.39867021423207244
341,3.332248085147552e-05,-1.334508615005931e-08,-13.345086150059311
342,3.332706784726913e-05,-8.75809035644421e-09,-8.75809035644421
343,3.333135487887731e-05,-4.471058748264207e-09,-4.471058748264206
344,3.333286900195423e-05,-2.956935671346423e-09,-2.956935671346423
345,3.333994958390138e-05,4.123646275803355e-09,4.123646275803355
346,3.333825147104272e-05,2.4255334171420723e-09,2.425533417142072
347,3.332481499317835e-05,-1.1010944447222676e-08,-11.010944447222677
348,3.332904680245288e-05,-6.779135172692969e-09,-6.7791351726929685
349,3.333397196388782e-05,-1.8539737377552606e-09,-1.8539737377552605
350,3.3334248286442936e-05,-1.5776511826402556e-09,-1.5776511826402555
351,3.333952096564938e-05,3.695028023801444e-09,3.6950280238014437
352,3.333722900054209e-05,1.4030629165142023e-09,1.4030629165142023
353,3.332754384341441e-05,-8.282094211167052e-09,-8.282094211167053
354,3.3330050965885843e-05,-5.774971739732466e-09,-5.774971739732465
355,3.333643094789382e-05,6.050102682432718e-10,0.6050102682432718
356,3.333495443136325e-05,-8.715062623253006e-10,-0.8715062623253006
357,3.3336567182139926e-05,7.412445143496977e-10,0.7412445143496976
358,3.333576865932608e-05,-5.727829949437376e-11,-0.05727829949437376
359,3.332727839592056e-05,-8.547541705013879e-09,-8.547541705013879
360,3.3329408607406935e-05,-6.417330218640833e-09,-6.417330218640832
361,3.333656401910412e-05,7.380814785441997e-10,0.7380814785441997
362,3.3335008956834195e-05,-8.169807913814336e-10,-0.8169807913814336
363,3.333100726152574e-05,-4.818676099834613e-09,-4.8186760998346125
364,3.333115839538117e-05,-4.667542244404083e-09,-4.667542244404083
365,3.3328815152729174e-05,-7.010784896401673e-09,-7.010784896401673
366,3.3329802556290866e-05,-6.02338133470976e-09,-6.02338133470976
367,3.333962245075789e-05,3.796513132312712e-09,3.7965131323127115
368,3.333598881252037e-05,1.628748947914366e-10,0.1628748947914366
369,3.33366303974271e-05,8.044598015212673e-10,0.8044598015212673
370,3.333341224434627e-05,-2.413693279303803e-09,-2.413693279303803
371,3.33349591582037e-05,-8.667794218784669e-10,-0.8667794218784669
372,3.33325910318559e-05,-3.234905769674396e-09,-3.234905769674396
373,3.333124281946001e-05,-4.583118165565176e-09,-4.583118165565176
374,3.333088566627104e-05,-4.940271354533072e-09,-4.940271354533071
375,3.333825327799314e-05,2.427340367564695e-09,2.4273403675646947
376,3.33348767591439e-05,-9.491784816760334e-10,-0.9491784816760335
377,3.3328278380186094e-05,-7.547557439482161e-09,-7.547557439482161
378,3.3328973978362375e-05,-6.851959263200875e-09,-6.851959263200874
379,3.333380261637958e-05,-2.023321245993976e-09,-2.023321245993976
380,3.333208769474433e-05,-3.738242881248083e-09,-3.7382428812480835
381,3.3336056966003225e-05,2.3102837764870602e-10,0.231028377648706
382,3.333434951753936e-05,-1.4764200862181281e-09,-1.476420086218128
383,3.3333301577134766e-05,-2.52436049080968e-09,-2.52436049080968
384,3.3331959710648784e-05,-3.866226976791793e-09,-3.866226976791793
385,3.332945468259921e-05,-6.3712550263682116e-09,-6.371255026368211
386,3.332923658098605e-05,-6.589356639526817e-09,-6.589356639526817
387,3.33388775000977e-05,3.051562472126284e-09,3.051562472126284
388,3.3335523094236985e-05,-3.0284338859082934e-10,-0.3028433885908293
389,3.3335056834307014e-05,-7.691033185617873e-10,-0.7691033185617874
390,3.3332993941346395e-05,-2.831996279181021e-09,-2.831996279181021
391,3.333726898631373e-05,1.4430486881524202e-09,1.4430486881524203
392,3.333454679729786e-05,-1.2791403277166496e-09,-1.2791403277166495
393,3.333363482939736e-05,-2.191108228218725e-09,-2.191108228218725
394,3.3331495532442496e-05,-4.330405183080427e-09,-4.330405183080427
395,3.3335466927887636e-05,-3.590097379400697e-10,-0.3590097379400697
396,3.3332046854017694e-05,-3.7790836078819895e-09,-3.7790836078819896
397,3.333116095967023e-05,-4.6649779553452125e-09,-4.664977955345212
398,3.333001546758363e-05,-5.810470041946853e-09,-5.810470041946853
399,3.333480532217992e-05,-1.0206154456591848e-09,-1.0206154456591847
400,3.333241254750707e-05,-3.4133901185027854e-09,-3.4133901185027855
401,3.332524206547949e-05,-1.0583872146088086e-08,-10.583872146088087
402,3.332687950318228e-05,-8.94643444329863e-09,-8.94643444329863
403,3.3337474790860744e-05,1.6488532351678848e-09,1.6488532351678848
404,3.333315017656907e-05,-2.6757610565051942e-09,-2.6757610565051944
