period_number,period_s,period_error_s,period_error_fs
7072,3.921561043127367e-09,6.299641841405702e-14,62.99641841405702
7073,3.921547772899351e-09,4.972619039864913e-14,49.72619039864913
7074,3.921585020692092e-09,8.697398313944294e-14,86.97398313944295
7075,3.9216058531489455e-09,1.0780643999277429e-13,107.80643999277429
7076,3.9215767409382565e-09,7.869422930376858e-14,78.69422930376858
7077,3.921577425937189e-09,7.937922823634492e-14,79.37922823634493
7078,3.9215653599054216e-09,6.731319646886237e-14,67.31319646886237
7079,3.921554832763113e-09,5.6786054159951426e-14,56.786054159951426
7080,3.921567817574906e-09,6.977086595345251e-14,69.77086595345251
7081,3.9216119127548875e-09,1.1386604593479578e-13,113.86604593479578
7082,3.92159139260247e-09,9.334589351724888e-14,93.34589351724888
7083,3.921579878185663e-09,8.183147671007264e-14,81.83147671007264
7084,3.9215742925929106e-09,7.624588395786181e-14,76.24588395786182
7085,3.921563528172956e-09,6.548146400350242e-14,65.48146400350242
7086,3.9215570110879075e-09,5.896437895480068e-14,58.96437895480068
7087,3.921611765276287e-09,1.1371856733428344e-13,113.71856733428343
7088,3.921605464760622e-09,1.0741805166953567e-13,107.41805166953567
7089,3.921584081718801e-09,8.603500984796187e-14,86.03500984796187
7090,3.921570131153922e-09,7.208444496931933e-14,72.08444496931932
7091,3.921569976465377e-09,7.192975642435996e-14,71.92975642435995
7092,3.9215488594054534e-09,5.0812696500751163e-14,50.812696500751166
7093,3.921620013561155e-09,1.219668522019014e-13,121.9668522019014
7094,3.9216105058941485e-09,1.1245918519577859e-13,112.45918519577859
7095,3.9215942101186556e-09,9.616340970288696e-14,96.16340970288695
7096,3.921586890805314e-09,8.884409636170888e-14,88.84409636170888
7097,3.921576996132343e-09,7.894942339011736e-14,78.94942339011736
7098,3.921564927010599e-09,6.688030164644322e-14,66.88030164644321
7099,3.921586815670104e-09,8.876896115115563e-14,88.76896115115564
7100,3.9216309683128e-09,1.3292160384764063e-13,132.92160384764063
7101,3.921599693579563e-09,1.0164687061044965e-13,101.64687061044964
7102,3.921595194059232e-09,9.714735027947187e-14,97.14735027947187
7103,3.92158289617083e-09,8.484946187740329e-14,84.84946187740329
7104,3.921574786257265e-09,7.673954831204878e-14,76.73954831204878
7105,3.9215720315977e-09,7.398488874736054e-14,73.98488874736054
7106,3.921638705721604e-09,1.4065901265158344e-13,140.65901265158342
7107,3.92160758963425e-09,1.0954292529728139e-13,109.54292529728139
7108,3.921601889441328e-09,1.0384273237543885e-13,103.84273237543886
7109,3.9215902455165715e-09,9.219880761875921e-14,92.19880761875922
7110,3.9215818882693855e-09,8.384156043280645e-14,83.84156043280645
7111,3.921564002186146e-09,6.595547719331308e-14,65.95547719331309
7112,3.921635637781822e-09,1.3759107286915552e-13,137.5910728691555
7113,3.921622878728026e-09,1.2483201907302023e-13,124.83201907302023
7114,3.9216039727086975e-09,1.0592599974481543e-13,105.92599974481543
7115,3.9215995001578956e-09,1.0145344894287823e-13,101.45344894287823
7116,3.921588069360181e-09,9.002265122825493e-14,90.02265122825493
7117,3.9215786379125876e-09,8.059120363485784e-14,80.59120363485785
7118,3.921613637964489e-09,1.1559125553670902e-13,115.59125553670903
7119,3.921638149715625e-09,1.4010300667247856e-13,140.10300667247856
7120,3.921607787961932e-09,1.097412529796833e-13,109.7412529796833
7121,3.921607416161902e-09,1.0936945294968371e-13,109.3694529496837
7122,3.921595124914239e-09,9.70782052859216e-14,97.0782052859216
7123,3.921583645571372e-09,8.559886241902527e-14,85.59886241902527
7124,3.9216010821443905e-09,1.0303543543780614e-13,103.03543543780614
7125,3.9216424877440426e-09,1.4444103508986462e-13,144.4410350898646
7126,3.9216114651149155e-09,1.1341840596283083e-13,113.41840596283083
7127,3.9216087407588016e-09,1.1069404984886356e-13,110.69404984886356
7128,3.9216015677314385e-09,1.0352102248580809e-13,103.52102248580809
7129,3.921590421428374e-09,9.237471942124499e-14,92.37471942124499
7130,3.921598132843431e-09,1.0008613447810245e-13,100.08613447810245
7131,3.921636661133147e-09,1.3861442419471027e-13,138.61442419471027
7132,3.9216244631539755e-09,1.2641644502283623e-13,126.41644502283623
7133,3.92161557971637e-09,1.1753300741752194e-13,117.53300741752194
7134,3.9216190708202606e-09,1.2102411130787095e-13,121.02411130787095
7135,3.921596979279424e-09,9.893257047163219e-14,98.93257047163219
7136,3.921588756581728e-09,9.070987277528487e-14,90.70987277528486
7137,3.9216439864096005e-09,1.4593970064783702e-13,145.93970064783701
7138,3.9216378903473605e-09,1.398436384077657e-13,139.84363840776572
7139,3.9247194116051425e-09,3.2213648961897596e-12,3221.3648961897597
7140,3.928035200139726e-09,6.537153430773137e-12,6537.153430773137
7141,3.922767695310053e-09,1.2696486011005088e-12,1269.6486011005088
7142,3.921570115839566e-09,7.206913061363297e-14,72.06913061363296
7143,3.921027673094114e-09,-4.703736148387237e-13,-470.37361483872377
7144,3.9212490242433295e-09,-2.4902246562321416e-13,-249.02246562321417
7145,3.921235385007105e-09,-2.626617018480275e-13,-262.6617018480275
7146,3.921249680890375e-09,-2.483658185774483e-13,-248.36581857744832
7147,3.921259486875609e-09,-2.385598333435661e-13,-238.5598333435661
7148,3.9212532423318815e-09,-2.448043770711593e-13,-244.8043770711593
7149,3.921280584745154e-09,-2.174619637984103e-13,-217.4619637984103
7150,3.921276147268293e-09,-2.218994406600676e-13,-221.8994406600676
7151,3.92131558428206e-09,-1.8246242689259106e-13,-182.46242689259105
7152,3.921329533816947e-09,-1.6851289200601237e-13,-168.51289200601238
7153,3.9213011701394376e-09,-1.968765695151341e-13,-196.8765695151341
7154,3.921325407858474e-09,-1.7263885047846027e-13,-172.63885047846028
7155,3.921312102664939e-09,-1.8594404401393082e-13,-185.94404401393084
7156,3.921314030024036e-09,-1.8401668491695765e-13,-184.01668491695764
7157,3.9213033285420175e-09,-1.9471816693520426e-13,-194.71816693520427
7158,3.921326346940186e-09,-1.7169976876676195e-13,-171.69976876676196
7159,3.921370064709391e-09,-1.2798199956166089e-13,-127.98199956166088
7160,3.921347356528569e-09,-1.5069018038350078e-13,-150.69018038350077
7161,3.921353536209902e-09,-1.4451049905087653e-13,-144.51049905087652
7162,3.9213458664824185e-09,-1.5218022653420192e-13,-152.18022653420192
7163,3.921339110385001e-09,-1.589363239518281e-13,-158.9363239518281
7164,3.921334949162853e-09,-1.6309754609993609e-13,-163.0975460999361
7165,3.921338412456957e-09,-1.5963425199531133e-13,-159.63425199531133
7166,3.92138831218432e-09,-1.0973452463302379e-13,-109.7345246330238
7167,3.921383064320544e-09,-1.1498238840850538e-13,-114.98238840850537
7168,3.921365496748798e-09,-1.3254996015477681e-13,-132.5499601547768
7169,3.921370247939558e-09,-1.2779876939451084e-13,-127.79876939451084
7170,3.921362543354975e-09,-1.3550335397768164e-13,-135.50335397768163
7171,3.9213573528454945e-09,-1.4069386345823874e-13,-140.69386345823875
7172,3.9213447916857e-09,-1.5325502325284112e-13,-153.2550232528411
7173,3.9214011569442975e-09,-9.688976465515352e-14,-96.88976465515353
7174,3.921408173006291e-09,-8.987370266161964e-14,-89.87370266161963
7175,3.921383164853191e-09,-1.1488185576206166e-13,-114.88185576206166
